EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;GRUPO DE VOO;PASSAGEIROS PAGOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1041
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1177
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1081
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;261
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3371
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;403
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;396
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3745
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;187
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;6617
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;339
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1369
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;709
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;598
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1219
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;2602
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;6201
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;146
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;2337
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;364
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;427
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;196
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3559
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;587
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;118
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;258
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;417
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3203
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;477
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;2345
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;426
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1355
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;408
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;292
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;865
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3915
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3995
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;6824
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;1887
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;5901
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;2272
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;2702
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2020;4;REGULAR;3111
